,Air_TempC_Avg,Air_TempC_Max,Air_TempC_Min,Relative_Humidity_Avg,Relative_Humidity_Max,Relative_Humidity_Min,Ppt_mm_Tot,Date_datetime,frost
294,2.62,17.49,-10.16,44.81,75.32,15.63,0.0,2018-01-02,1
295,1.71,13.75,-10.62,36.03,65.77,14.27,0.0,2018-01-03,1
296,5.29,13.3,-4.21,32.18,57.76,19.0,0.0,2018-01-04,1
297,2.65,18.77,-9.28,41.66,73.73,13.34,0.0,2018-01-05,1
298,7.25,19.15,-6.66,34.81,59.65,20.24,0.0,2018-01-06,1
299,12.29,19.05,0.69,33.84,56.76,19.98,0.0,2018-01-07,0
300,5.81,17.23,-5.32,46.49,76.48,23.93,0.0,2018-01-08,1
301,9.23,21.08,-2.46,45.82,69.44,25.05,0.0,2018-01-09,1
302,9.96,14.0,3.8,52.98,96.0,35.73,0.3,2018-01-10,0
303,7.24,15.88,-4.92,43.03,79.88,17.01,0.0,2018-01-11,1
304,3.46,18.81,-9.69,43.47,75.42,17.8,0.0,2018-01-12,1
305,4.59,17.51,-5.65,43.37,80.1,19.16,0.0,2018-01-13,1
306,4.0,19.22,-7.25,40.12,69.86,16.95,0.0,2018-01-14,1
307,4.72,18.03,-8.47,38.07,61.85,18.44,0.0,2018-01-15,1
308,0.58,6.6,-4.67,42.55,68.77,24.27,0.0,2018-01-16,1
309,-1.55,9.72,-12.37,42.75,62.01,24.6,0.0,2018-01-17,1
310,-0.97,14.65,-12.74,41.01,66.76,17.75,0.0,2018-01-18,1
311,4.7,17.85,-11.43,33.2,59.84,17.12,0.0,2018-01-19,1
312,11.9,19.84,-2.97,28.83,56.62,16.87,0.0,2018-01-20,1
313,5.62,10.46,-5.87,35.68,55.86,20.6,0.0,2018-01-21,1
314,-1.56,10.19,-14.09,34.37,66.99,13.79,0.0,2018-01-22,1
315,-0.51,14.53,-13.01,27.83,59.92,9.91,0.0,2018-01-23,1
316,0.34,16.7,-12.25,28.0,58.58,9.3,0.0,2018-01-24,1
317,3.15,16.01,-12.11,28.47,49.49,17.18,0.0,2018-01-25,1
318,9.91,19.43,1.25,23.75,52.19,7.2,0.0,2018-01-26,0
319,2.83,15.97,-8.17,20.03,34.23,10.92,0.0,2018-01-27,1
320,4.31,18.78,-9.75,21.27,35.66,6.48,0.0,2018-01-28,1
321,4.13,19.11,-8.47,27.72,48.42,13.86,0.0,2018-01-29,1
322,4.09,19.62,-11.0,34.37,58.76,20.09,0.0,2018-01-30,1
323,8.14,23.09,-8.2,30.95,71.07,9.02,0.0,2018-01-31,1
324,10.02,23.78,-5.66,19.3,38.31,8.34,0.0,2018-02-01,1
325,12.21,20.1,-0.38,24.21,47.89,14.89,0.0,2018-02-02,1
326,11.01,24.12,-1.9,25.36,46.43,10.63,0.0,2018-02-03,1
327,10.7,23.69,-3.56,25.22,47.56,10.96,0.0,2018-02-04,1
328,12.02,24.88,-3.69,23.65,50.29,9.38,0.0,2018-02-05,1
329,14.73,23.05,3.04,22.49,61.81,11.22,0.0,2018-02-06,0
330,7.21,18.81,-4.49,40.34,90.5,11.07,0.0,2018-02-07,1
331,5.67,21.21,-6.97,26.52,49.17,10.67,0.0,2018-02-08,1
